"Flag, name andpostal abbreviation[13]","Flag, name andpostal abbreviation[13]",Cities - Capital,Cities - Largest[17],Ratification oradmission[C],Population[15],Total area[16] - mi2,Total area[16] - km2,Land area[16] - mi2,Land area[16] - km2,Water area[16] - mi2,Water area[16] - km2,Numberof Reps.
Nevada,NV,Carson City,Las Vegas,"Oct 31, 1864","3,104,614","110,572","286,380","109,781","284,332",791,"2,048",4
New Hampshire,NH,Concord,Manchester,"Jun 21, 1788","1,377,529","9,349","24,214","8,953","23,187",397,"1,027",2
New Jersey,NJ,Trenton,Newark,"Dec 18, 1787","9,288,994","8,723","22,591","7,354","19,047","1,368","3,544",12
New Mexico,NM,Santa Fe,Albuquerque,"Jan 6, 1912","2,117,522","121,590","314,917","121,298","314,161",292,757,3
New York,NY,Albany,New York City,"Jul 26, 1788","20,201,249","54,555","141,297","47,126","122,057","7,429","19,240",27
North Carolina,NC,Raleigh,Charlotte,"Nov 21, 1789","10,439,388","53,819","139,391","48,618","125,920","5,201","13,471",13
North Dakota,ND,Bismarck,Fargo,"Nov 2, 1889","779,094","70,698","183,108","69,001","178,711","1,698","4,397",1
Ohio,OH,Columbus,Columbus,"Mar 1, 1803","11,799,448","44,826","116,098","40,861","105,829","3,965","10,269",16
Oklahoma,OK,Oklahoma City,Oklahoma City,"Nov 16, 1907","3,959,353","69,899","181,037","68,595","177,660","1,304","3,377",5
Oregon,OR,Salem,Portland,"Feb 14, 1859","4,237,256","98,379","254,799","95,988","248,608","2,391","6,191",5
Pennsylvania[D],PA,Harrisburg,Philadelphia,"Dec 12, 1787","13,002,700","46,054","119,280","44,743","115,883","1,312","3,397",18
Rhode Island,RI,Providence,Providence,"May 29, 1790","1,097,379","1,545","4,001","1,034","2,678",511,"1,324",2
South Carolina,SC,Columbia,Charleston,"May 23, 1788","5,118,425","32,020","82,933","30,061","77,857","1,960","5,076",7
South Dakota,SD,Pierre,Sioux Falls,"Nov 2, 1889","886,667","77,116","199,729","75,811","196,350","1,305","3,379",1
Tennessee,TN,Nashville,Nashville,"Jun 1, 1796","6,910,840","42,144","109,153","41,235","106,798",909,"2,355",9
Texas,TX,Austin,Houston,"Dec 29, 1845","29,145,505","268,596","695,662","261,232","676,587","7,365","19,075",36
Utah,UT,Salt Lake City,Salt Lake City,"Jan 4, 1896","3,271,616","84,897","219,882","82,170","212,818","2,727","7,064",4
Vermont,VT,Montpelier,Burlington,"Mar 4, 1791","643,077","9,616","24,906","9,217","23,871",400,"1,035",1
Virginia[D],VA,Richmond,Virginia Beach,"Jun 25, 1788","8,631,393","42,775","110,787","39,490","102,279","3,285","8,508",11
Washington,WA,Olympia,Seattle,"Nov 11, 1889","7,705,281","71,298","184,661","66,456","172,119","4,842","12,542",10
West Virginia,WV,Charleston,Charleston,"Jun 20, 1863","1,793,716","24,230","62,756","24,038","62,259",192,497,3
Wisconsin,WI,Madison,Milwaukee,"May 29, 1848","5,893,718","65,496","169,635","54,158","140,268","11,339","29,367",8
Wyoming,WY,Cheyenne,Cheyenne,"Jul 10, 1890","576,851","97,813","253,335","97,093","251,470",720,"1,864",1
